step,_step,loss,_runtime,time,l2_error,loss_interior,loss_boundary,_timestamp
0,0,1098.7978572872114,21.6024911403656,18.72325038909912,38.43888415433782,10.066191901282938,1088.7316653859284,1744687369.9754992
1,1,1142.1871010162622,38.85761594772339,36.24808740615845,38.40066680524442,10.054752947574682,1132.1323480686876,1744687387.230624
2,2,1101.3603771977746,56.11064577102661,53.50136089324951,38.362588038420476,10.039192001129717,1091.3211851966448,1744687404.4836538
3,3,1090.0134370792339,73.3587498664856,70.74946880340576,38.3246349170884,10.024313903431281,1079.9891231758027,1744687421.7317579
4,4,1093.0372326598806,90.59973359107971,87.98896217346191,38.286793921624785,10.010676513192767,1083.0265561466879,1744687438.9727416
5,5,1147.7432057721012,107.83950901031494,105.23069453239441,38.24858172435565,9.995294492207973,1137.7479112798933,1744687456.212517
6,6,1103.6042728646214,125.08557891845703,122.47642278671265,38.210657027707356,9.981332094718924,1093.6229407699025,1744687473.458587
7,7,1117.6683023453534,142.33953976631165,139.7302165031433,38.172535494672495,9.964820398628234,1107.703481946725,1744687490.7125478
8,8,1090.7815118871788,159.59241700172424,156.9839084148407,38.13417757412997,9.95302883462254,1080.8284830525563,1744687507.965425
9,9,1075.3821465622718,176.84968447685242,174.24079251289368,38.09599096756728,9.93599830429867,1065.4461482579732,1744687525.2226925
10,10,1065.0740423893674,194.10040807724,191.49210333824158,38.05713634166357,9.921029021318548,1055.1530133680487,1744687542.473416
11,11,1109.5001313141613,211.35492777824402,208.74551463127136,38.01766120474104,9.903079648846798,1099.5970516653144,1744687559.7279358
12,12,1087.0404863154354,228.5951042175293,225.98677372932434,37.978255281940065,9.888360921470197,1077.1521253939652,1744687576.9681122
13,13,1069.8587049046637,245.84713506698608,243.2380211353302,37.938808872194244,9.871989265828077,1059.9867156388357,1744687594.220143
14,14,1105.2475375359072,263.06745505332947,260.4590673446655,37.899016038785625,9.854619435471507,1095.3929181004357,1744687611.440463
15,15,1084.767747613451,280.23698377609253,277.62861371040344,37.85898691558525,9.838037924017122,1074.929709689434,1744687628.6099918
16,16,1063.5876028709183,297.41726183891296,294.80827951431274,37.81884362635973,9.822211008986912,1053.7653918619314,1744687645.7902699
17,17,1088.579930776943,314.5982530117035,311.9900007247925,37.77885254973501,9.804319671445695,1078.7756111054973,1744687662.971261
18,18,1098.6856547441844,331.77716064453125,329.1684069633484,37.73794980998529,9.78836656284323,1088.897288181341,1744687680.1501687
19,19,1060.747759277093,348.9661297798157,346.35769414901733,37.69652803042328,9.769425172333936,1050.9783341047591,1744687697.3391378
20,20,1055.9853124493486,366.15034675598145,363.5420937538147,37.65523164618057,9.75611494869706,1046.2291975006515,1744687714.5233548
21,21,1069.3211030329005,383.3349883556366,380.725830078125,37.613262050325844,9.735025011041602,1059.5860780218588,1744687731.7079964
22,22,1071.2236607886764,400.49998235702515,397.89171266555786,37.57178567813222,9.71644495271628,1061.50721583596,1744687748.8729904
23,23,1070.0483165589635,417.66403365135193,415.05551528930664,37.52904542981965,9.694106601125029,1060.3542099578385,1744687766.0370417
24,24,1043.115149470108,434.9095561504364,432.30093717575073,37.486487711901134,9.67932841573628,1033.4358210543717,1744687783.2825642
25,25,1099.9715258938543,452.1683626174927,449.5590569972992,37.44311289631249,9.661402164112515,1090.3101237297417,1744687800.5413706
26,26,1050.1908863182903,469.4103043079376,466.80118346214294,37.3991061291613,9.643795584929782,1040.5470907333604,1744687817.7833123
27,27,1062.5137318747845,486.64747738838196,484.0383286476135,37.35560340070972,9.627032340320968,1052.8866995344636,1744687835.0204854
28,28,1071.0613289159407,503.88818645477295,501.27878427505493,37.311599813019626,9.606516001843753,1061.454812914097,1744687852.2611945
29,29,1068.3484455305336,521.1406314373016,518.5319275856018,37.26731930387231,9.58496105960829,1058.7634844709253,1744687869.5136395
30,30,1050.7902785427195,538.3958208560944,535.7870314121246,37.22290180719735,9.563856685593684,1041.2264218571258,1744687886.7688289
31,31,1082.555755793934,555.6566925048828,553.0472767353058,37.17746564863121,9.549850710255738,1073.0059050836783,1744687904.0297005
32,32,1050.4260571684338,572.9267046451569,570.3175129890442,37.131574586284195,9.528418617384855,1040.8976385510489,1744687921.2997127
33,33,1029.2128892749085,590.1831121444702,587.573712348938,37.08651026251893,9.508943471473316,1019.7039458034352,1744687938.5561202
34,34,1057.1960167477355,607.4371197223663,604.8278880119324,37.04084297111613,9.486298392697892,1047.7097183550377,1744687955.8101277
35,35,1047.5673526295068,624.6915125846863,622.0823037624359,36.99572146260825,9.47065047499367,1038.0967021545132,1744687973.0645206
36,36,1048.814635388774,641.9336290359497,639.3246800899506,36.95006994397563,9.446125498405902,1039.368509890368,1744687990.306637
37,37,1042.6626188782304,659.1856708526611,656.5761477947235,36.90291267166429,9.427017476160295,1033.2356014020702,1744688007.5586789
38,38,1040.789823530162,676.442976474762,673.8337614536285,36.85578119401517,9.41100947476047,1031.3788140554016,1744688024.8159845
39,39,1031.6786517766348,693.6878168582916,691.0787310600281,36.808877795771174,9.386540639473788,1022.292111137161,1744688042.0608249
40,40,1022.0136729809237,710.9309935569763,708.3217973709106,36.762335154260896,9.365781075199076,1012.6478919057247,1744688059.3040016
42,41,1039.8083252379702,745.4210381507874,742.8120777606964,36.667445106716265,9.3243941981302,1030.48393103984,1744688093.7940462
46,42,1016.5591916837178,814.3697657585144,811.760445356369,36.473830385478074,9.2425520024558,1007.316639681262,1744688162.7427738
50,43,1016.793384756446,883.3029010295868,880.6942758560181,36.275324761317,9.166680327014028,1007.626704429432,1744688231.675909
55,44,998.3495561521681,969.4875295162201,966.8780331611633,36.02390865926815,9.0626559071913,989.2869002449768,1744688317.8605375
61,45,1000.2852711989818,1072.9239869117737,1070.3143174648285,35.706139498970366,8.920462747727637,991.3648084512542,1744688421.296995
67,46,976.4381444233464,1176.3678405284882,1173.758713722229,35.374564193913365,8.79954245796846,967.638601965378,1744688524.7408485
73,47,956.4545474773265,1279.7913687229156,1277.1791803836823,35.027072683503775,8.661021119681166,947.7935263576453,1744688628.1643767
81,48,941.6439268584297,1417.6999051570892,1415.0892539024353,34.539232900818504,8.467956120123533,933.1759707383062,1744688766.0729132
89,49,956.0109114631649,1555.5874464511871,1552.9780237674713,34.02006224266492,8.280091219148497,947.7308202440164,1744688903.9604545
98,50,921.6718142190822,1710.6817572116852,1708.0724828243256,33.40068322713073,8.054541534434223,913.617272684648,1744689059.0547652
107,51,897.6981389178849,1865.2770490646362,1862.6677210330963,32.741495897853426,7.829365438773145,889.8687734791117,1744689213.650057
118,52,858.4298527804681,2054.084860563278,2051.4762654304504,31.88240841052998,7.547322145983919,850.8825306344842,1744689402.4578686
130,53,808.8390036024167,2260.00812458992,2257.398710489273,30.861141510106325,7.188777804798719,801.650225797618,1744689608.3811326
143,54,760.5769833570092,2483.1150715351105,2480.5062725543976,29.68243634733,6.812660397388556,753.7643229596207,1744689831.4880795
157,55,724.2182056255242,2723.3914721012115,2720.7818274497986,28.349730179012777,6.359445291154953,717.8587603343692,1744690071.76448
172,56,682.6914354071048,2980.791405916214,2978.181862592697,26.917365606583182,5.912351915817058,676.7790834912877,1744690329.164414
190,57,607.4275074033314,3289.7067863941193,3287.0964035987854,25.234302643911573,5.369939887675941,602.0575675156555,1744690638.0797944
208,58,572.0673632452549,3598.5909736156464,3595.9813611507416,23.59661213391297,4.940617464503093,567.1267457807518,1744690946.9639816
229,59,489.3694637145951,3958.916332960129,3956.305571079254,21.701292993439505,4.450239713871003,484.9192240007241,1744691307.289341
252,60,434.46473464232463,4353.635723829269,4351.026380062103,19.672767102419144,3.876838661120757,430.58789598120387,1744691702.0087318
277,61,375.76440368717357,4782.959521055222,4780.350300550461,17.548483329978687,3.429730591389514,372.33467309578407,1744692131.332529
305,62,308.70962106889806,5263.346574306488,5260.737357378006,15.298932077031713,2.96243144156554,305.74718962733255,1744692611.7195823
335,63,263.16981688897386,5778.2267553806305,5775.617234706879,13.016306002746344,2.5874137011512515,260.5824031878226,1744693126.5997634
369,64,200.337129683309,6361.60542178154,6358.994451522827,10.618219014856793,2.111668443103556,198.22546124020545,1744693709.9784298
406,65,137.80382584284567,6997.105187177658,6994.495596647263,8.266703924504343,1.7505197024444714,136.0533061404012,1744694345.4781952
407,66,135.76591668234317,7014.358421802521,7011.749349117279,8.207697744000539,1.6688978747223029,134.09701880762088,1744694362.7314298
