step,_step,loss,_runtime,time,l2_error,loss_interior,loss_boundary,_timestamp
0,0,1098.7978572872114,19.728784799575806,18.838496923446655,38.47262799285556,10.066191901282938,1088.7316653859284,1744801547.5027878
1,1,1143.8760137441814,36.90990376472473,36.34040021896362,38.46851173216631,10.065632671165968,1133.8103810730154,1744801564.6839068
2,2,1104.6917123307758,54.09238934516907,53.5229651927948,38.46496867467866,10.062854528080019,1094.6288578026958,1744801581.8663924
3,3,1095.0125668684814,71.279452085495,70.70890092849731,38.46173043551347,10.060961506244176,1084.9516053622372,1744801599.053455
4,4,1099.733642458415,88.45372009277344,87.8849561214447,38.45868273516787,10.060356013563245,1089.6732864448518,1744801616.2277231
5,5,1156.3560094438635,105.63319277763367,105.06394505500793,38.45581627705894,10.05863160780481,1146.2973778360588,1744801633.4071958
6,6,1113.7502315494924,122.79565596580505,122.22646522521973,38.453106372431726,10.057833708751955,1103.6923978407403,1744801650.569659
7,7,1129.6318673650599,139.95856022834778,139.3898253440857,38.45048237111625,10.055227982772893,1119.5766393822869,1744801667.7325633
8,8,1104.3393117858184,157.13146495819092,156.562420129776,38.447929929950284,10.056668691851401,1094.282643093967,1744801684.905468
9,9,1090.598689790292,174.29483771324158,173.72616171836853,38.44540381979324,10.05499617569408,1080.543693614598,1744801702.0688407
10,10,1081.9596366279522,191.45737314224243,190.88853693008423,38.44291274917352,10.053718635236372,1071.9059179927158,1744801719.2313762
11,11,1128.5371580050582,208.63200736045837,208.06301617622375,38.440439377300905,10.0514134763779,1118.4857445286802,1744801736.4060104
12,12,1107.6145265325192,225.7943036556244,225.22587060928345,38.438031887221676,10.0508836253583,1097.563642907161,1744801753.5683067
13,13,1092.0794575709456,242.96437788009644,242.395170211792,38.4356485132081,10.050505517047146,1082.0289520538984,1744801770.738381
14,14,1129.7191883558985,260.12620186805725,259.5575416088104,38.433287003881354,10.050171705856384,1119.669016650042,1744801787.900205
15,15,1110.8113579277567,277.29083275794983,276.7216145992279,38.43096375807119,10.048698346387747,1100.762659581369,1744801805.0648358
16,16,1091.1980391669658,294.45722341537476,293.88854479789734,38.428656122299614,10.049536238422334,1081.1485029285434,1744801822.2312264
17,17,1118.255003471416,311.6162567138672,311.04722595214844,38.42635585079052,10.046665824832,1108.2083376465841,1744801839.3902597
18,18,1130.407891839415,328.7749402523041,328.20568084716797,38.42407832881806,10.046435971054994,1120.36145586836,1744801856.5489433
19,19,1093.9308741111972,345.9407796859741,345.3722333908081,38.42182792475684,10.044523828293856,1083.8863502829033,1744801873.7147827
20,20,1090.885150980051,363.12306451797485,362.5537316799164,38.4195655884147,10.04615657890445,1080.8389944011467,1744801890.8970675
21,21,1106.389041561896,380.28811955451965,379.71950697898865,38.417313783016056,10.042523995667167,1096.3465175662288,1744801908.0621226
22,22,1110.1013575278528,397.4462330341339,396.8770582675934,38.41508068880815,10.042820578888568,1100.0585369489643,1744801925.220236
23,23,1110.9587998279967,414.6138365268707,414.0449216365814,38.412848827304586,10.039951431136172,1100.9188483968605,1744801942.3878396
24,24,1085.357578397876,431.78064584732056,431.2120795249939,38.410621400455746,10.039868660112703,1075.3177097377634,1744801959.5546489
25,25,1145.3680871828913,448.94866943359375,448.37921261787415,38.40839269613412,10.039399817431732,1135.3286873654595,1744801976.7226725
26,26,1096.6359184066926,466.1112198829651,465.5426609516144,38.40616277533581,10.039766447442224,1086.5961519592504,1744801993.885223
27,27,1111.1226154610326,483.2725923061371,482.7033226490021,38.40394848222493,10.03919675713299,1101.0834187038997,1744802011.0465953
28,28,1121.8746322479253,500.4313623905182,499.86264538764954,38.40174298060171,10.039116221695696,1111.8355160262297,1744802028.2053654
