step,_step,loss,_runtime,time,l2_error,loss_interior,loss_boundary,_timestamp
0,0,1098.7978572872114,22.15107750892639,18.471951484680176,35.519307461965695,10.066191901282938,1088.7316653859284,1744705595.3077085
1,1,1006.8538934106281,39.29582858085632,36.403515100479126,31.4086067885545,8.523909542308946,998.3299838683191,1744705612.4524596
2,2,820.2718586824905,56.447993993759155,53.55571913719177,27.729877271032475,9.508785934469879,810.7630727480206,1744705629.604625
3,3,685.1116568933813,73.6007170677185,70.70808053016663,24.829155172017426,8.036913485160115,677.0747434082213,1744705646.757348
4,4,592.1642791346231,90.74242162704468,87.84963965415955,22.281203655504715,6.768381654980772,585.3958974796424,1744705663.8990526
5,5,544.7151644555034,107.88939762115479,105.0008065700531,19.972201736688127,5.653924323919441,539.061240131584,1744705681.0460286
6,6,449.49193592891237,125.03191590309143,122.13915920257568,17.951891354929067,4.870712021294048,444.62122390761834,1744705698.188547
7,7,395.07151335576924,142.19268918037415,139.2998650074005,16.044403029016568,3.9423956784560765,391.12911767731316,1744705715.3493202
8,8,331.2519725657823,159.3536241054535,156.46062588691711,14.517255148198377,3.6906012374910593,327.5613713282912,1744705732.510255
9,9,282.4119582209031,176.51201677322388,173.619304895401,13.092066371808848,3.035645195857766,279.37631302504536,1744705749.6686478
10,10,241.14239274920382,193.656019449234,190.7631025314331,11.852534562472389,2.7855458741081236,238.3568468750957,1744705766.8126504
11,11,225.79799100957865,210.8140788078308,207.921555519104,10.727357667736408,2.3042227777187,223.49376823185995,1744705783.9707098
12,12,194.6690514668233,227.97243785858154,225.07915806770325,9.734468529989474,2.0669472888178766,192.60210417800542,1744705801.1290689
13,13,168.07841906401063,245.13336300849915,242.24091458320618,8.824759775264068,1.851603485649301,166.22681557836134,1744705818.289994
14,14,155.6982010022488,262.29595589637756,259.40348649024963,8.038547613008895,1.6740375276311734,154.0241634746176,1744705835.452587
15,15,133.29997556949303,279.45325684547424,276.56044363975525,7.338031024605271,1.400563130894923,131.89941243859812,1744705852.6098878
16,16,115.06882998741642,296.6046998500824,293.71185183525085,6.709199715078831,1.2648969641473105,113.80393302326911,1744705869.7613308
17,17,106.86435792215072,313.7655098438263,310.8722949028015,6.12111692418331,1.079667694266731,105.78469022788398,1744705886.9221408
18,18,94.60657054644291,330.90332412719727,328.0089132785797,5.573132893470526,0.9674684682677552,93.63910207817516,1744705904.0599551
19,19,77.16930780137771,348.0491933822632,345.1551697254181,5.107786192885267,0.9628251545929288,76.20648264678478,1744705921.2058244
20,20,67.6182305128855,365.183158159256,362.2901289463043,4.696128202691622,0.8561275289757468,66.76210298390976,1744705938.3397892
21,21,62.552771659317855,382.3475513458252,379.4546287059784,4.308521026318108,0.8495316838506524,61.703239975467206,1744705955.5041823
22,22,55.4226089535352,399.504102230072,396.61078929901123,3.9581463721931374,0.821049991564434,54.60155896197077,1744705972.6607332
23,23,48.02271582072229,416.6542308330536,413.758202791214,3.63720919862936,0.8399585739109214,47.18275724681137,1744705989.8108618
24,24,41.39814094749006,433.81800079345703,430.9244849681854,3.331693304477376,0.797819112857912,40.600321834632155,1744706006.9746318
25,25,39.00600629319722,450.9646260738373,448.0716223716736,3.0663545864002266,0.8184035573767695,38.18760273582045,1744706024.121257
26,26,30.91374278464619,468.10802841186523,465.21467661857605,2.8266944047900577,0.7825807750809495,30.13116200956524,1744706041.2646594
27,27,29.65794474529817,485.26045989990234,482.3676438331604,2.596746406440668,0.7695693955166183,28.88837534978155,1744706058.417091
28,28,25.93482645566108,502.42360734939575,499.5302903652191,2.392610531560074,0.7469038430221345,25.187922612638946,1744706075.5802383
29,29,22.273984975553276,519.5806396007538,516.6878483295441,2.2067368942679355,0.7355893823144343,21.538395593238842,1744706092.7372706
30,30,19.7109730481823,536.7218356132507,533.8289752006531,2.0336768224239226,0.7349472053763924,18.976025842805907,1744706109.8784666
31,31,17.796412287689897,553.8569891452789,550.9637298583984,1.87312356130807,0.7486648045852804,17.047747483104615,1744706127.0136201
32,32,14.60812747389335,571.0064985752106,568.1170890331268,1.730549934935733,0.7546532587936271,13.853474215099723,1744706144.1631296
33,33,12.596003004403698,588.1591203212738,585.2662155628204,1.6007902559344507,0.6789027223110538,11.917100282092644,1744706161.3157513
34,34,11.68492148639902,605.317540884018,602.4246227741241,1.4779954493087424,0.6903696767693722,10.994551809629648,1744706178.4741719
35,35,10.671688584534326,622.4760501384735,619.5820820331573,1.3643159636384796,0.6111184899127222,10.060570094621603,1744706195.6326811
36,36,9.338589724546402,639.6367318630219,636.7436375617981,1.2623618175130829,0.6185469954966848,8.720042729049718,1744706212.7933629
37,37,7.959011569874873,656.7886717319489,653.8959200382233,1.1683669600250146,0.7321540331442162,7.226857536730657,1744706229.9453027
38,38,7.150661472269496,673.9397463798523,671.0468044281006,1.082031695287927,0.5800052359975026,6.570656236271994,1744706247.0963774
39,39,6.048940061655949,691.0931203365326,688.2002792358398,1.0058515190622488,0.6071268493234648,5.441813212332484,1744706264.2497513
40,40,5.8207823197976865,708.2447674274445,705.3521311283112,0.9334943060441379,0.5282450872094592,5.292537232588227,1744706281.4013984
42,41,4.472963585870689,742.5271146297455,739.6339817047119,0.8039486789876978,0.549402812864361,3.9235607730063276,1744706315.6837456
46,42,3.040715638565679,811.0791282653809,808.1860218048096,0.6129471632224178,0.5225217688844765,2.5181938696812027,1744706384.2357593
50,43,1.8231997810287452,879.637743473053,876.744457244873,0.4695731817616259,0.42670241368281675,1.3964973673459284,1744706452.7943745
55,44,1.35962646319131,965.304675579071,962.4114284515381,0.34441099803180747,0.44802376770700286,0.9116026954843072,1744706538.4613066
61,45,0.6047245035923042,1068.1318542957306,1065.2381060123444,0.24498059730440117,0.24215882817018758,0.36256567542211665,1744706641.2884853
67,46,0.4362693238744958,1170.9366087913513,1168.0433826446533,0.1853014191388988,0.26107468824391517,0.1751946356305806,1744706744.0932398
73,47,0.2742443335161369,1273.7142493724823,1270.821291923523,0.15054273338908802,0.19394438637490888,0.08029994714122805,1744706846.8708804
