_step,l2_error,loss_boundary,loss_interior,step,time,_runtime,_timestamp,loss
0,1.6440347140625466,2.8428219188771324,0.00010162577213131824,0,6.755061626434326,7.429665803909302,1753918745.844169,2.842923544649264
1,1.185367274304058,2.474411714169875,0.5725802378511033,1,13.497787475585938,13.930074691772461,1753918752.3445778,3.0469919520209787
2,0.9213464499985898,1.0175868152086294,1.140726924945357,2,19.996792793273926,20.428905487060547,1753918758.8434086,2.1583137401539867
3,0.8341271143293769,0.7020254030288933,0.3483186193919768,3,26.49570083618164,26.92791986465454,1753918765.342423,1.05034402242087
4,0.756235351872114,0.6361992889335607,0.1911986725501584,4,32.99331498146057,33.42548179626465,1753918771.839985,0.8273979614837191
5,0.6894341991142084,0.5185619684679353,0.1429977204134324,5,39.491777420043945,39.9252667427063,1753918778.3397698,0.6615596888813677
6,0.6292689649521547,0.4169680566945585,0.10514525811311545,6,45.99022912979126,46.42264437675476,1753918784.8371475,0.522113314807674
7,0.5713849616163794,0.359587358358257,0.08086850815221971,7,52.48883581161499,52.92104244232178,1753918791.3355455,0.44045586651047675
8,0.5171754770767528,0.293078076495516,0.061480093363164096,8,58.98796772956848,59.42025017738342,1753918797.8347533,0.35455816985868005
9,0.4683684246160165,0.254806992511314,0.050411796723557084,9,65.48493909835815,65.91735672950745,1753918804.3318598,0.3052187892348711
10,0.42582823225790056,0.2034481470232762,0.04094312997751696,10,71.98086142539978,72.41317582130432,1753918810.827679,0.24439127700079316
11,0.38661756235918227,0.1766554819531105,0.03171737400257933,11,78.48007488250732,78.91226005554199,1753918817.3267632,0.20837285595568983
12,0.35187118413517976,0.14753434896905798,0.025687382233792144,12,84.9760639667511,85.4083480834961,1753918823.8228512,0.17322173120285012
13,0.3206339190869785,0.12039513992359163,0.021706124129852872,13,91.47376561164856,91.90596437454224,1753918830.3204675,0.1421012640534445
14,0.2922180800732975,0.1022804637526659,0.01828483805259291,14,97.96981620788574,98.40226531028748,1753918836.8167684,0.12056530180525882
15,0.2664895706882247,0.08273582437013531,0.015012162843794792,15,104.46646332740784,104.89888596534729,1753918843.313389,0.0977479872139301
16,0.24326377589640685,0.068990093351094,0.012053202140318525,16,110.96472692489624,111.39696288108826,1753918849.811466,0.08104329549141252
17,0.2221250931626166,0.06203724481952865,0.00994805398984212,17,117.46048307418823,117.89272665977478,1753918856.3072298,0.07198529880937077
18,0.20268397992479584,0.048077947812427656,0.008084198827872098,18,123.95664691925049,124.38914847373962,1753918862.8036516,0.056162146640299754
