step,_step,loss,_runtime,time,l2_error,loss_interior,loss_boundary,_timestamp
0,0,124.79941088089237,4.7797510623931885,1.9865493774414062,1.5972282893793048,123.25134859863059,1.5480622822617889,1743747947.1664
1,1,124.38918011826637,5.394802093505859,2.8119301795959473,2.0610659495832966,122.78573380685134,1.603446311415023,1743747947.781451
2,2,117.28055873435946,6.005689382553101,3.4227705001831055,1.9030076506129057,114.79035341820338,2.4902053161560733,1743747948.3923383
3,3,105.35952193347853,6.616784572601318,4.033874273300171,2.0123628463381946,103.50017049178128,1.8593514416972536,1743747949.0034335
4,4,94.89836409473445,7.2323102951049805,4.649341106414795,1.2991837679923457,92.59550362232467,2.3028604724097774,1743747949.6189592
5,5,58.31054201826,7.8438355922698975,5.260793209075928,1.1195220791693703,57.28033146803757,1.0302105502224266,1743747950.2304845
6,6,36.45595989465429,8.465739250183105,5.882715225219727,0.6751218045648706,35.716790602329574,0.7391692923247155,1743747950.8523881
7,7,6.496614033018558,9.07740569114685,6.494344472885132,0.5150202592432916,6.266159676315806,0.23045435670275202,1743747951.4640546
8,8,2.3063413247254734,9.689389705657959,7.106120347976685,0.22067802221737381,2.169196997381148,0.13714432734432574,1743747952.0760386
9,9,0.10018473905972586,10.301308870315552,7.71825385093689,0.12169351150127586,0.07370244921331404,0.026482289846411825,1743747952.6879578
10,10,0.02288936205984065,10.912128686904907,8.329065322875977,0.02359980980540749,0.014738380883040901,0.008150981176799748,1743747953.2987776
11,11,0.003035572180077854,11.523524284362793,8.94049859046936,0.010799888754724138,0.0026744956493043176,0.00036107653077353634,1743747953.9101732
12,12,0.0010254277168813568,12.139436960220337,9.55639910697937,0.008081099648426746,0.0009600083877230838,6.541932915827291e-05,1743747954.5260859
13,13,0.00014857476576519776,12.752426862716675,10.16929030418396,0.0039196726575608885,0.00011288145051942575,3.5693315245772004e-05,1743747955.1390758
14,14,8.141252663340237e-05,13.3647301197052,10.78160047531128,0.0017327624902910561,7.13782542258102e-05,1.003427240759218e-05,1743747955.751379
15,15,3.4554961897333006e-05,13.980114221572876,11.396989822387695,0.0013963135231210328,3.239004742553035e-05,2.1649144718026606e-06,1743747956.366763
16,16,2.476950226693485e-05,14.596346378326416,12.013291120529175,0.0017190030338621058,2.338213048375836e-05,1.3873717831764891e-06,1743747956.9829953
