_step,_runtime,loss_boundary,_timestamp,loss_interior,step,l2_error,time,loss
0,15.343438625335693,1.5480622822617889,1744660034.5439255,123.25134859863059,0,1.597604993179655,12.616360425949097,124.79941088089237
1,26.43470072746277,1.6048419110084904,1744660045.6351876,122.75655639725387,1,2.0503085448964367,23.943793296813965,124.36139830826237
2,34.61728382110596,2.476058200659665,1744660053.8177707,115.77355326805726,2,1.4703847261105927,32.12488532066345,118.24961146871692
3,40.70023989677429,1.3095352475050788,1744660059.9007268,96.67255743637163,3,1.3087375373043169,38.20969343185425,97.98209268387672
4,46.48510265350342,1.0196374902486325,1744660065.6855896,80.17556900398543,4,1.611623964410378,43.99420499801636,81.19520649423406
5,51.826568365097046,1.3760974515920248,1744660071.0270553,47.79704609604969,5,0.6369111282680265,49.3354697227478,49.173143547641715
6,57.04417705535889,0.20941507062793882,1744660076.244664,8.26390962263914,6,0.3476246091848939,54.55363655090332,8.47332469326708
7,62.58745574951172,0.06275340193180627,1744660081.7879426,0.8757462684178506,7,0.10990871684635785,60.09689497947693,0.9384996703496569
8,68.55442500114441,0.006851710045333716,1744660087.754912,0.03949806126702224,8,0.04609204510914867,66.0634093284607,0.04634977131235596
9,74.62092089653015,0.0011719425942454142,1744660093.8214078,0.0032008437142692827,9,0.008794322368864392,72.1301908493042,0.0043727863085146965
10,80.76580548286438,4.993087041283444e-05,1744660099.9662924,0.0005158878443352668,10,0.007518235432657742,78.27521991729736,0.0005658187147481012
11,87.0324957370758,3.004373322657522e-05,1744660106.2329826,4.109780892550639e-05,11,0.0046192493258960035,84.54099750518799,7.114154215208161e-05
12,93.29147529602051,1.0483134188500963e-05,1744660112.4919622,1.3816714474840383e-05,12,0.0023812237987298774,90.8002519607544,2.4299848663341346e-05
13,99.61004090309143,2.757894391007042e-06,1744660118.8105278,7.862976032436483e-06,13,0.0014931854370087672,97.11869311332703,1.0620870423443525e-05
14,105.8940360546112,1.2622174625925942e-06,1744660125.094523,5.415403787801358e-06,14,0.0013180458798043838,103.40264964103699,6.677621250393952e-06
15,112.21857404708862,9.313135348199254e-07,1744660131.419061,3.83821921480112e-06,15,0.0008232600996288687,109.72704100608826,4.769532749621045e-06
16,118.5581784248352,4.6998417418925557e-07,1744660137.7586653,1.719434118264574e-06,16,0.000666239627576378,116.06689882278442,2.1894182924538297e-06
17,124.90896797180176,3.004833573287645e-07,1744660144.1094549,1.0544181431869095e-06,17,0.0005674491791039688,122.4175877571106,1.354901500515674e-06
18,131.35072088241577,2.4233025851014164e-07,1744660150.5512078,7.643220251242056e-07,18,0.0005016963391912239,128.85937070846558,1.0066522836343473e-06
