_step,loss_interior,loss,step,time,_runtime,l2_error,loss_boundary,_timestamp
0,123.25134859863059,124.79941088089237,0,1.77034330368042,4.959455251693726,1.5968247928396808,1.5480622822617889,1745446251.2035093
1,122.78265093996703,124.38518675133187,1,2.690700054168701,5.387206792831421,1.9684756241034918,1.6025358113648454,1745446251.6312609
2,107.56713980286982,109.84059466137725,2,3.1150715351104736,5.812913656234741,1.8973814280627306,2.273454858507432,1745446252.0569677
3,102.29267068536606,104.3862436392922,3,3.5412683486938477,6.237847328186035,2.129285771819243,2.093572953926137,1745446252.4819014
4,70.65328844572353,72.91938866427037,4,3.9630587100982666,6.659600257873535,1.240224580397121,2.2661002185468453,1745446252.9036543
5,48.29524200491558,49.10001149850226,5,4.397460222244263,7.0944130420684814,1.217326593727952,0.8047694935866814,1745446253.3384671
6,40.14520855440289,40.93214065018864,6,4.823700666427612,7.5205237865448,1.0444676502398553,0.786932095785754,1745446253.7645779
7,27.331507848733356,27.814929405510252,7,5.255846977233887,7.952754259109497,0.7465372711075653,0.48342155677689475,1745446254.1968083
8,11.565262107133698,11.847191636837085,8,5.681236028671265,8.377808570861816,0.4642294002706742,0.28192952970338675,1745446254.6218626
9,3.970427765157059,4.096104377797268,9,6.088448524475098,8.785140991210938,0.41401471009025675,0.1256766126402091,1745446255.029195
10,3.7810301734359757,3.8875958113345184,10,6.521793603897095,9.218762636184692,0.32554969385012317,0.10656563789854269,1745446255.4628167
11,3.209877516260693,3.274201446574488,11,6.948620080947876,9.645792007446289,0.3270075146443526,0.0643239303137951,1745446255.889846
12,2.4826572092757777,2.546775526880605,12,7.359767436981201,10.056471586227417,0.1985549655708105,0.06411831760482732,1745446256.3005257
13,1.6240421486615748,1.6500809416360196,13,7.771863222122192,10.468471765518188,0.2214454170527562,0.02603879297444471,1745446256.7125258
14,1.1109353853522836,1.1379725880308358,14,8.184443712234497,10.881105422973633,0.1783993963044007,0.027037202678552096,1745446257.1251595
15,0.7437802797759593,0.7621696391816188,15,8.612162351608276,11.308767318725586,0.07866730185508275,0.018389359405659524,1745446257.5528214
16,0.3361971737218496,0.34066291354814315,16,9.029243469238281,11.726081371307373,0.04764413342582827,0.004465739826293583,1745446257.9701355
17,0.057972748933419874,0.05954089552067,17,9.45243239402771,12.153985738754272,0.037661419899536655,0.0015681465872501197,1745446258.3980398
18,0.017060565894056495,0.018004741920855428,18,9.872763633728027,12.569478750228882,0.020476293263630065,0.0009441760267989322,1745446258.8135328
19,0.006899271607963366,0.007209027655924408,19,10.294791221618652,12.991439819335938,0.01539433571950176,0.0003097560479610428,1745446259.235494
20,0.0041090899316734006,0.004258429459071371,20,10.711102485656738,13.407773971557617,0.010940082910989952,0.0001493395273979706,1745446259.651828
21,0.0016607802438525449,0.0017252238196829943,21,11.12801480293274,13.824651956558228,0.011377806693478026,6.444357583044944e-05,1745446260.068706
