_step,l2_error,loss_interior,step,_runtime,loss,_timestamp,loss_boundary,time
0,0.8887806136339746,0.000328727938301596,0,5.411849737167358,0.4111585265167073,1744436106.3288157,0.41082979857840574,1.7192301750183105
1,0.8809001882707718,0.0004427973637473741,1,5.518726110458374,0.36945697034780844,1744436106.435692,0.3690141729840611,2.571704864501953
2,0.6910046933083402,0.00031555062779561687,2,5.621317386627197,0.403558957517631,1744436106.5382833,0.4032434068898354,2.673004150390625
3,0.4177048718526618,0.03980047946383931,3,5.72022557258606,0.32366386419520987,1744436106.6371915,0.28386338473137057,2.7733681201934814
4,0.19533537046022098,0.030801312926645865,4,5.817834138870239,0.14349260968665767,1744436106.7348,0.11269129676001181,2.870939254760742
5,0.1344232869810866,0.04806290234698038,5,5.914916753768921,0.07793838301724146,1744436106.8318827,0.029875480670261086,2.968071699142456
6,0.06486144068520783,0.020343474406388947,6,6.0109899044036865,0.03227588875175738,1744436106.9279559,0.011932414345368432,3.0641493797302246
7,0.04667450051398902,0.0131612416786774,7,6.10748553276062,0.0161789902707418,1744436107.0244515,0.0030177485920644,3.1606268882751465
8,0.05454246872337242,0.004125035274954829,8,6.203556776046753,0.006208821119115075,1744436107.1205227,0.002083785844160247,3.2566516399383545
9,0.042335886027924576,0.0012216180830942937,9,6.300069808959961,0.003042709673620472,1744436107.2170358,0.0018210915905261782,3.3532001972198486
10,0.03252922934018935,0.0006676802682305536,10,6.39803147315979,0.001688932270632096,1744436107.3149974,0.0010212520024015423,3.451016902923584
11,0.025824880006903708,0.0003109970168907267,11,6.494541645050049,0.0010492354361385943,1744436107.4115076,0.0007382384192478678,3.5475270748138428
12,0.022006432168891865,0.0002446370073712731,12,6.5905396938323975,0.0006385134107611953,1744436107.5075057,0.00039387640338992225,3.6436378955841064
13,0.02064665193255162,0.0003134912119731155,13,6.686560153961182,0.0005828197485045195,1744436107.603526,0.00026932853653140404,3.7395901679992676
14,0.027078865838253027,0.00036290575250193247,14,6.786048173904419,0.0005666981580864959,1744436107.7030141,0.00020379240558456336,3.8391005992889404
15,0.020892477828157768,0.0006690787085798704,15,6.882678031921387,0.0009941951867402546,1744436107.799644,0.0003251164781603841,3.9358069896698
16,0.018270452791893602,0.0002742171604260056,16,6.97860312461853,0.0005085296283080487,1744436107.895569,0.00023431246788204312,4.031758069992065
17,0.017608804880916446,0.00016488296430729088,17,7.07502293586731,0.0004484769476088376,1744436107.991989,0.00028359398330154675,4.128180265426636
18,0.01512385531411937,0.00011096389763932416,18,7.170850515365601,0.00026348407056566185,1744436108.0878165,0.0001525201729263377,4.224005222320557
19,0.015393709780642863,0.00013746966279057617,19,7.269637584686279,0.00033195977176386587,1744436108.1866035,0.00019449010897328972,4.322699546813965
20,0.021823227173452635,0.00022330082847502785,20,7.362647533416748,0.0003834522844056185,1744436108.2796135,0.00016015145593059068,4.415781736373901
21,0.01911886266513677,0.0001560994721387062,21,7.454922199249268,0.0004438420378942777,1744436108.3718882,0.00028774256575557147,4.50805401802063
22,0.014188478942385108,5.951584111433898e-05,22,7.549127101898193,0.0003104203754003138,1744436108.466093,0.0002509045342859748,4.602169513702393
23,0.010391320106665604,8.703513618288982e-05,23,7.641378402709961,0.0002569932032510503,1744436108.5583444,0.00016995806706816046,4.694477319717407
24,0.01655980512763726,7.045937697572802e-05,24,7.735121011734009,0.00015947574358018737,1744436108.652087,8.901636660445936e-05,4.788217782974243
25,0.016702819896377397,6.897729782418701e-05,25,7.827799558639526,0.00018775487733751196,1744436108.7447655,0.00011877757951332495,4.880918502807617
26,0.013124473912309378,8.703474379873951e-05,26,7.920289516448975,0.00024123989638591984,1744436108.8372555,0.00015420515258718034,4.973464012145996
27,0.010718856877797039,4.220838770596668e-05,27,8.013025045394897,0.00018388242949900517,1744436108.929991,0.00014167404179303848,5.066131591796875
28,0.011166730065321921,0.00011660696984399777,28,8.106168031692505,0.00021441699945633238,1744436109.023134,9.781002961233461e-05,5.159276962280273
29,0.01324629650654792,7.494374317899272e-05,29,8.202317237854004,0.00016602964347701193,1744436109.1192832,9.108590029801921e-05,5.255406618118286
30,0.010404263857137896,7.504159583500968e-05,30,8.30099868774414,0.00029391140325863704,1744436109.2179646,0.00021886980742362737,5.354084491729736
31,0.009747644534198624,7.214338700457153e-05,31,8.398715734481812,0.0001253656221134004,1744436109.3156817,5.322223510882889e-05,5.451740980148315
32,0.012672942618438042,3.0021532320410864e-05,32,8.498080015182495,7.338745489556759e-05,1744436109.415046,4.336592257515672e-05,5.551118850708008
33,0.010729520885101424,6.995957790188973e-05,33,8.595484018325806,0.00018688771632854965,1744436109.51245,0.00011692813842665992,5.648570775985718
34,0.013365177706938946,4.0457309700023956e-05,34,8.692084312438965,0.00010446207574788305,1744436109.6090503,6.40047660478591e-05,5.745112895965576
35,0.011607140359893523,4.904132486616101e-05,35,8.78737735748291,0.00013924617075919052,1744436109.7043433,9.02048458930295e-05,5.840418815612793
36,0.01536570529581752,5.442534651427076e-05,36,8.883959293365479,0.00015133652593221175,1744436109.8009253,9.691117941794097e-05,5.937025785446167
37,0.013453243535365932,5.441038920931234e-05,37,8.98106336593628,0.00020858481193681243,1744436109.8980293,0.0001541744227275001,6.0340917110443115
38,0.009837604274949216,6.226034411832976e-05,38,9.078464031219482,0.00019682003114589901,1744436109.99543,0.00013455968702756927,6.13153076171875
39,0.010081633779964023,4.1604618122973206e-05,39,9.173659324645996,0.00010320638692655574,1744436110.0906253,6.160176880358253e-05,6.226736545562744
40,0.01055562381052672,3.63468275637073e-05,40,9.273220539093018,0.00012865897357259442,1744436110.1901865,9.231214600888712e-05,6.326223373413086
41,0.012987736324389843,3.841139014426446e-05,42,9.463674783706665,9.542308543503681e-05,1744436110.3806407,5.701169529077235e-05,6.516712188720703
42,0.009856326228492132,3.398571300818546e-05,46,9.83718490600586,0.00011945407273521786,1744436110.7541509,8.54683597270324e-05,6.890182018280029
43,0.010243994578903275,3.44950144443061e-05,50,10.200500965118408,0.00013452382718395813,1744436111.117467,0.00010002881273965203,7.253594160079956
44,0.010506478319670921,2.5850088964813914e-05,55,10.658310890197754,9.510194675283018e-05,1744436111.5752769,6.925185778801627e-05,7.711360931396484
45,0.008115052924411507,1.12772413820658e-05,61,11.207905054092407,5.297637578953559e-05,1744436112.124871,4.1699134407469795e-05,8.2606520652771
46,0.007385580237007651,1.7137580635332253e-05,67,11.748892545700073,7.902430509370001e-05,1744436112.6658585,6.188672445836776e-05,8.80201530456543
47,0.009233636938846077,1.1587535312838947e-05,73,12.291847705841064,7.15435089250403e-05,1744436113.2088137,5.9955973612201356e-05,9.344883918762207
48,0.008717387536727367,9.570731079015437e-06,81,13.020821332931519,8.915870658614298e-05,1744436113.9377873,7.958797550712755e-05,10.073969602584839
49,0.006774768262472068,6.879184177854562e-06,89,13.740525245666504,6.507472955079655e-05,1744436114.6574912,5.8195545372941985e-05,10.793576955795288
50,0.00785337454803164,6.957421049332804e-06,98,14.556412935256958,4.3116651854038275e-05,1744436115.473379,3.615923080470547e-05,11.60953688621521
51,0.00674819357143391,6.910203380206493e-06,107,15.369305849075317,5.520131678730896e-05,1744436116.2862718,4.8291113407102464e-05,12.422369003295898
52,0.005386184039320384,4.242350021661735e-06,118,16.364599466323853,3.2375155254210144e-05,1744436117.2815654,2.813280523254841e-05,13.417639017105103
53,0.005629286002489106,6.771771866115044e-06,130,17.454288721084595,6.141471043177869e-05,1744436118.3712547,5.464293856566365e-05,14.5073082447052
54,0.00501080185416458,2.051070705367142e-06,143,18.63970446586609,1.5021171764474288e-05,1744436119.5566704,1.2970101059107146e-05,15.692638874053955
55,0.007859794883055684,3.108927951645026e-06,157,19.898954391479492,2.070697433792795e-05,1744436120.8159204,1.7598046386282924e-05,16.952162981033325
56,0.003945737613880283,2.192740761943652e-06,172,21.258089065551758,1.1891122871989271e-05,1744436122.175055,9.698382110045619e-06,18.311224937438965
57,0.0044784490431702085,9.436313203430482e-07,190,22.885409355163574,1.9211295927163006e-05,1744436123.8023753,1.826766460681996e-05,19.938255310058594
58,0.003966156429512552,1.108309742282127e-06,208,24.50719141960144,1.4870680684218146e-05,1744436125.4241574,1.376237094193602e-05,21.560112237930298
59,0.003943696519842026,9.499393758237944e-07,229,26.404136896133423,1.5881198445015787e-05,1744436127.3211029,1.4931259069191992e-05,23.457261323928833
60,0.0036831106829522888,1.282487554892511e-06,252,28.47850012779236,1.1568721202857737e-05,1744436129.395466,1.0286233647965226e-05,25.531611919403076
61,0.003696934321006494,6.536172237562998e-07,277,30.732012033462524,1.0880390361924359e-05,1744436131.648978,1.022677313816806e-05,27.78522753715515
62,0.003447050304392964,7.182668293323177e-07,305,33.40807747840881,2.101769285060112e-05,1744436134.3250434,2.0299426021268803e-05,30.461219310760498
