step,_step,loss,_runtime,time,l2_error,loss_interior,loss_boundary,_timestamp
0,0,0.5397251543595274,18.25244450569153,15.346381902694702,1.0020916864640768,0.00041831908570821223,0.5393068352738192,1744766005.3655565
1,1,0.5134364836682822,31.44661855697632,28.858598470687866,0.9959144121018852,5.68283443806525e-05,0.5133796553239015,1744766018.5597305
2,2,0.4814388759619107,44.57077646255493,41.98384881019592,0.9794693404090502,7.602803879268545e-05,0.481362847923118,1744766031.6838884
3,3,0.4995011560956355,57.245001792907715,54.65725064277649,0.7835472462560016,3.107534332726636e-05,0.49947008075230825,1744766044.3581138
4,4,0.33913508465599196,69.0065050125122,66.41867280006409,0.22859041970441937,0.010005054436716839,0.3291300302192751,1744766056.119617
5,5,0.04294722000956566,80.59831213951111,78.01061511039734,0.11022668131152982,0.016705107160896623,0.026242112848669036,1744766067.711424
6,6,0.00872497978996797,92.1452043056488,89.55706810951233,0.054252957797044615,0.002240798071469219,0.00648418171849875,1744766079.2583163
7,7,0.0029283554021241804,103.75070548057556,101.1627459526062,0.02135487357261627,0.0014462789677733045,0.001482076434350876,1744766090.8638175
8,8,0.0008970200994145939,115.38229203224182,112.79416155815125,0.012074812854874323,0.0006330633117395229,0.0002639567876750709,1744766102.495404
9,9,0.0001267401702256319,127.06896448135376,124.48067593574524,0.004244475871841876,5.149337355163719e-05,7.524679667399471e-05,1744766114.1820765
10,10,1.550373552079865e-05,138.73789286613464,136.149840593338,0.0019301954363585645,5.3891862467624545e-06,1.0114549274036196e-05,1744766125.8510048
11,11,4.492518418830593e-06,150.44532370567322,147.85685062408447,0.0013058289803269322,2.0120663399836604e-06,2.4804520788469332e-06,1744766137.5584357
12,12,2.128094596117473e-06,162.16787672042847,159.57939052581787,0.001314204128629633,8.500469383114027e-07,1.2780476578060705e-06,1744766149.2809887
13,13,1.6326198050301218e-06,173.8897728919983,171.30152869224548,0.0009708200357605838,6.148529922531319e-07,1.01776681277699e-06,1744766161.0028849
14,14,1.3721677026337917e-06,185.61696887016296,183.02884244918823,0.0008796826874907167,5.965864850091188e-07,7.75581217624673e-07,1744766172.7300808
15,15,1.093908989971882e-06,197.33277034759521,194.7442183494568,0.0007949067367459845,4.964508138963837e-07,5.974581760754981e-07,1744766184.4458823
16,16,9.797458046314752e-07,209.07141184806824,206.48284912109375,0.0008010835762787185,5.250219397393822e-07,4.54723864892093e-07,1744766196.1845238
17,17,8.787151519408484e-07,220.82907390594482,218.24081945419312,0.0009293307025385027,3.5579569765693647e-07,5.22919454283912e-07,1744766207.9421859
18,18,9.620259242207098e-07,232.5700752735138,229.98194003105164,0.0007034952993491482,3.561020916335404e-07,6.059238325871694e-07,1744766219.6831872
19,19,7.06476225744835e-07,244.31310272216797,241.7245626449585,0.0007140223659906034,3.3296144904382766e-07,3.7351477670100735e-07,1744766231.4262147
20,20,6.998314037323167e-07,256.04207396507263,253.45348834991455,0.0006290938600075786,2.950731843149448e-07,4.047582194173718e-07,1744766243.155186
21,21,6.099991107121475e-07,267.80411529541016,265.21593475341797,0.0007452000137310099,2.1709679759686611e-07,3.929023131152814e-07,1744766254.9172273
22,22,6.782749581603062e-07,279.5681200027466,276.9800066947937,0.0006721273240530373,2.714896608814113e-07,4.0678529727889496e-07,1744766266.681232
23,23,6.444133226888924e-07,291.3392689228058,288.750648021698,0.0007512109972250186,2.68994773661046e-07,3.754185490278464e-07,1744766278.452381
24,24,6.037877523694769e-07,303.1035466194153,300.5152413845062,0.0006702785458620644,2.165406588955952e-07,3.8724709347388165e-07,1744766290.2166586
25,25,5.036145502760725e-07,314.882572889328,312.2944321632385,0.0006659823988385953,1.6731435880837372e-07,3.363001914676988e-07,1744766301.9956849
26,26,5.475379073465708e-07,326.67077898979187,324.0826539993286,0.0006370752538969718,1.9624974191862633e-07,3.512881654279444e-07,1744766313.783891
27,27,5.228982471463361e-07,338.4398982524872,335.8510344028473,0.0005745861587548424,2.018863075817292e-07,3.2101193956460684e-07,1744766325.5530102
28,28,4.2878488314394524e-07,350.19025468826294,347.60213685035706,0.0005598036592559621,1.7317269939512878e-07,2.5561218374881643e-07,1744766337.3033667
29,29,3.912854038774402e-07,362.0136950016022,359.42557406425476,0.0006231957952645008,1.498980514233212e-07,2.4138735245411903e-07,1744766349.126807
30,30,4.4485134412434583e-07,373.817316532135,371.22893023490906,0.0005935063775914138,1.4046453835213349e-07,3.0438680577221235e-07,1744766360.9304285
