step,_step,loss,_runtime,time,l2_error,loss_interior,loss_boundary,_timestamp
0,0,0.5397251543595274,19.21785569190979,15.539400339126587,1.0245432397059826,0.00041831908570821223,0.5393068352738192,1744736025.5602267
1,1,0.5378802791182515,33.2003755569458,30.397707223892212,1.023378024672869,0.00039551526161464557,0.5374847638566369,1744736039.5427465
2,2,0.5087975122747954,47.15518808364868,44.35118079185486,1.0220593443415558,0.00038381730308577734,0.5084136949717096,1744736053.497559
3,3,0.5450190433424283,61.113460063934326,58.31103301048279,1.0201087266075795,0.0003671438526629644,0.5446518994897653,1744736067.455831
4,4,0.5594873048065232,75.0730926990509,72.26983165740967,0.890791549300524,0.00032008266332120576,0.559167222143202,1744736081.4154637
5,5,0.47602094975059533,89.03829073905945,86.23438477516174,0.4620111687008363,0.053852315063377384,0.42216863468721794,1744736095.3806617
6,6,0.17984380465743022,103.00703310966492,100.2033314704895,0.10120059437341453,0.07447815079572996,0.10536565386170026,1744736109.349404
7,7,0.03663046917261288,116.97191405296326,114.1681821346283,0.09105206565474122,0.031032962448247204,0.005597506724365678,1744736123.314285
8,8,0.019653152920810595,130.9367160797119,128.13289284706116,0.04475892329763143,0.0149747772911789,0.004678375629631695,1744736137.279087
9,9,0.0022537021774600447,144.90442728996277,142.10052180290222,0.006721284704655246,0.0012290088936899753,0.0010246932837700694,1744736151.2467983
10,10,0.0005081980363441763,158.87075996398926,156.06710028648376,0.0031845508308509956,0.0004833465046528669,2.4851531691309463e-05,1744736165.213131
11,11,1.2876980561106524e-05,172.81820368766785,170.01386642456055,0.0024791509556451757,7.192485245395679e-06,5.6844953157108466e-06,1744736179.1605747
12,12,6.1946658353290384e-06,186.76716017723083,183.96348190307617,0.001306280332544451,2.686957135505028e-06,3.5077086998240104e-06,1744736193.1095312
13,13,2.2792188272671456e-06,200.713063955307,197.9093554019928,0.0011001581115533535,1.3771502058533425e-06,9.020686214138032e-07,1744736207.055435
14,14,1.7074748843106484e-06,214.66420888900757,211.85997986793518,0.0010264306702487647,1.0530757962258933e-06,6.543990880847551e-07,1744736221.0065799
15,15,1.3287498155192116e-06,228.61096692085266,225.80724954605103,0.0003891208286084507,7.251228654817847e-07,6.036269500374269e-07,1744736234.953338
16,16,4.428503423897594e-07,242.5667531490326,239.76298880577087,0.0006573541088915127,3.391409048820922e-07,1.0370943750766719e-07,1744736248.9091241
17,17,2.820850168199036e-07,256.5291268825531,253.72478890419006,0.0005014557336962758,2.9616531134098454e-08,2.524684856858052e-07,1744736262.8714979
18,18,1.986399034651536e-07,270.48968625068665,267.68602323532104,0.0004451805832872871,4.1990678731625514e-08,1.5664922473352808e-07,1744736276.8320572
19,19,1.3005318295857864e-07,284.4499888420105,281.64630007743835,0.00033907374947716594,2.3132142473281116e-08,1.0692104048529752e-07,1744736290.7923598
20,20,1.0090579538690149e-07,298.41182231903076,295.6076338291168,0.00032835834193015276,2.054584975915754e-08,8.035994562774395e-08,1744736304.7541933
21,21,8.642825503837698e-08,312.37523794174194,309.57151079177856,0.000273515286590376,1.952715573545666e-08,6.690109930292033e-08,1744736318.717609
22,22,6.642949787286332e-08,326.3350932598114,323.5313935279846,0.00022467807797772594,1.797832061921735e-08,4.845117725364597e-08,1744736332.6774642
23,23,5.373310674909518e-08,340.29695224761963,337.4927785396576,0.00021497558958153703,1.813945210270817e-08,3.559365464638701e-08,1744736346.6393232
24,24,5.738579799145638e-08,354.2582356929779,351.45439982414246,0.00018543048071092763,1.7922993482422803e-08,3.946280450903358e-08,1744736360.6006067
25,25,4.890354458105446e-08,368.2195656299591,365.4158606529236,0.00017737962314228243,1.836561509255945e-08,3.053792948849501e-08,1744736374.5619366
26,26,4.280293040566049e-08,382.1817252635956,379.3773829936981,0.00017859189073342354,1.753820821225714e-08,2.526472219340335e-08,1744736388.5240963
27,27,4.723519183027758e-08,396.1436800956726,393.3398196697235,0.00017275477707324804,2.051440842649501e-08,2.6720783403782567e-08,1744736402.486051
28,28,4.2831598966534017e-08,410.1041467189789,407.3004550933838,0.0001866512523560256,1.9700012138863837e-08,2.3131586827670183e-08,1744736416.4465177
29,29,3.9353476147981594e-08,424.0673279762268,421.26309514045715,0.00018464918058532474,1.2210601131790006e-08,2.714287501619159e-08,1744736430.409699
30,30,3.9623808402738705e-08,438.02909684181213,435.225252866745,0.0002055493734934023,1.2158186292688541e-08,2.7465622110050165e-08,1744736444.3714678
31,31,4.1791600783256124e-08,451.9892315864563,449.1855499744415,0.00021484994364595996,1.0647266075242598e-08,3.1144334708013524e-08,1744736458.3316026
32,32,5.024219694693216e-08,465.95036792755127,463.14637064933777,0.00017565261609032865,1.5880915703355914e-08,3.436128124357625e-08,1744736472.292739
33,33,4.3242311878428284e-08,479.91208481788635,477.1080861091614,0.00018569711555520863,2.0224915241662418e-08,2.3017396636765866e-08,1744736486.2544558
34,34,4.340152723482343e-08,493.8736593723297,491.06997561454773,0.00017885741188582307,1.878072456009848e-08,2.462080267472495e-08,1744736500.2160304
35,35,3.375187030787266e-08,507.8345522880554,505.03055596351624,0.0001713434929953127,9.276477253011444e-09,2.4475393054861218e-08,1744736514.1769233
36,36,3.3815208357289994e-08,521.7982039451599,518.993034362793,0.0001552963475107031,8.471712428053755e-09,2.534349592923624e-08,1744736528.140575
