step,_step,loss,_runtime,time,l2_error,loss_interior,loss_boundary,_timestamp
0,0,18.532976017972462,20.048657178878784,18.861973524093628,0.5004587214052421,18.048322263527346,0.48465375444511594,1744663009.922136
1,1,12.636138030998826,36.677156925201416,35.86085915565491,1.0035118930823568,12.513825623433352,0.12231240756547312,1744663026.5506358
2,2,0.8585230606059131,53.301482915878296,52.48549246788025,0.22730337811542087,0.33664922329207864,0.5218738373138344,1744663043.1749618
3,3,0.32257141687907454,69.92875552177429,69.11219763755798,0.09011912470247219,0.2965553100920126,0.026016106787061934,1744663059.8022344
4,4,0.15934672051175655,86.5558385848999,85.73898935317993,0.0811759667596893,0.15530761816537986,0.0040391023463766966,1744663076.4293175
5,5,0.10917779611539248,103.19078874588013,102.3747136592865,0.07267678631399879,0.10585926868028311,0.0033185274351093604,1744663093.0642676
6,6,0.06287694221496294,119.82529401779175,119.0086145401001,0.07702477350971441,0.06043853711485702,0.0024384051001059164,1744663109.698773
7,7,0.033891852647059816,136.44979619979858,135.63380074501038,0.14357691512516013,0.030780623505743766,0.003111229141316046,1744663126.323275
8,8,0.015477692318505034,153.07806777954102,152.26152348518372,0.10617971670752577,0.0037709848682955394,0.011706707450209495,1744663142.9515467
9,9,0.007456444527547328,169.70821619033813,168.89195370674133,0.0843363481278689,0.0011977583339264383,0.00625868619362089,1744663159.581695
10,10,0.004462849810593931,186.34083008766174,185.52419185638428,0.07615088617202449,0.0004534350130443587,0.004009414797549573,1744663176.214309
11,11,0.003504225077002887,202.97849917411804,202.16242289543152,0.06737447146697215,0.0002858131507562849,0.003218411926246602,1744663192.851978
12,12,0.002075804263657783,219.60520362854004,218.78887033462524,0.057662409797859485,0.00012196972056495613,0.001953834543092827,1744663209.4786825
13,13,0.0015899535196642882,236.23671007156372,235.42037987709045,0.05090116244458868,0.00011169158957862191,0.0014782619300856663,1744663226.110189
14,14,0.0011751322811623288,252.86522150039673,252.04919409751892,0.04837687669234493,0.0001230727661097558,0.001052059515052573,1744663242.7387004
15,15,0.0015089295686688687,269.4923141002655,268.67558693885803,0.04378895017745948,0.0001057877733194595,0.0014031417953494093,1744663259.365793
16,16,0.0008955025333914758,286.1215829849243,285.305428981781,0.04227551340191448,9.902328937844329e-05,0.0007964792440130325,1744663275.9950619
17,17,0.0009281750331903383,302.76140689849854,301.9447636604309,0.04533443944886008,7.492122631060214e-05,0.0008532538068797362,1744663292.6348858
18,18,0.0011085625274490616,319.3921856880188,318.5759735107422,0.04055004971006126,6.286855373309602e-05,0.0010456939737159656,1744663309.2656646
